koi_dikco_msky,koi_dicco_msky,koi_fwm_srao,koi_max_mult_ev,koi_fwm_sdeco,koi_dikco_mra,koi_model_snr,koi_dicco_mdec,koi_ror,koi_prad,koi_dikco_mdec,koi_dicco_mra,koi_fpflag_ss,koi_dor,koi_fpflag_co,koi_ldm_coeff1,koi_max_sngle_ev,koi_period,koi_incl,koi_fwm_prao,koi_disposition_num
0.6,0.21,0.44,16.489346,-1.37,0.11,21.3,-0.13,0.018268,1.46,-0.59,0.16,0,14.18,0,0.6188,3.765065,4.71510843,88.96,-0.00026,2
0.133,0.049,0.07,58.17086,-0.16,-0.019,70.8,0.042,0.026275,2.44,-0.131,-0.025,0,14.46,0,0.3858,7.331596,6.365839713,87.92,-1e-05,2
1.26,1.25,-0.06,42.549767,1.33,0.34,50.3,1.22,0.035468,3.86,1.22,0.3,0,6.53,1,0.3511,7.281016,5.97581754,81.71,9e-05,0
7.841,7.787,-97.44,98.78201,26.11,-7.438,110.2,2.749,0.278526,26.25,2.48,-7.286,0,1.749,1,0.3928,25.09719,2.446737317,44.81,0.07152,0
0.116,0.564,0.483,653.36066,-0.345,-0.01,568.2,-0.509,0.104023,8.99,0.115,0.243,0,10.41,0,0.5575,50.342957,3.04033046,85.95,-0.00348,2
0.083,0.49,-0.25,84.09906,-0.16,-0.076,86.6,-0.35,0.056,5.0,0.031,-0.35,0,21.65,0,0.5256,13.146613,15.33528675,87.95,0.00162,2
0.76,0.96,0.08,10.168395,0.58,0.61,14.7,-0.61,0.006915,1.06,-0.46,0.75,0,10.01,0,0.4213,2.978392,7.95825328,85.95,-1.2e-05,2
0.082,0.45,-0.05,110.02644,-0.06,-0.081,117.2,-0.379,0.072904,6.5,-0.016,-0.25,0,33.19,0,0.5256,23.140947,31.33046135,88.62,0.00168,2
0.075,0.132,0.0657,1224.3164,-0.0282,0.075,323.4,0.123,0.125229,12.28,-0.006,-0.05,1,6.856,0,0.3928,110.279724,3.9043425,84.06,0.00292,0
0.105,0.061,-0.1283,1748.3405,0.0505,-0.097,1671.1,0.06,0.19639,17.61,-0.041,-0.01,1,23.029,0,0.3556,230.37978,9.286358079,89.06,-0.0022,0
0.166,0.176,0.1,110.66481,0.18,0.143,117.2,-0.042,0.331342,31.44,0.083,0.171,1,5.42,0,0.3342,13.511557,3.951405455,76.4,-0.00017,0
0.07,0.02,0.037,188.42673,0.106,-0.034,266.3,0.019,0.05219,7.89,0.061,0.007,0,23.142,0,0.4213,33.295635,23.65369415,89.98,-6e-05,2
0.33,0.29,0.48,34.323593,-0.03,-0.31,49.1,-0.13,0.020278,3.06,-0.11,-0.26,0,15.32,0,0.4213,6.205785,13.23352214,89.95,-0.00023,2
0.28,0.23,-0.46,26.274458,0.76,-0.22,35.1,0.13,0.015336,2.32,0.18,-0.19,0,9.34,0,0.4213,4.266375,6.15560285,88.56,0.00013,2
0.85,0.82,-1.22,14.88052,-0.61,-0.06,19.9,0.82,0.010686,1.62,0.85,-0.03,0,3.32,0,0.4213,3.535499,2.090811305,77.03,0.000137,2
0.22,0.36,-0.25,34.970474,0.04,-0.02,50.4,-0.34,0.009989,1.53,-0.22,0.12,0,6.751,0,0.4213,5.307951,3.180027898,88.34,1.1e-05,2
0.87,0.88,0.37,15.157462,0.39,0.72,19.4,0.39,0.01767,2.67,0.49,0.78,0,50.9,0,0.4213,5.1075315,50.4467417,89.57,-0.00014,2
0.27,0.13,-0.21,39.560696,0.01,-0.22,48.9,0.028,0.028519,2.35,-0.152,0.12,0,31.76,0,0.582,9.07897,11.76307164,89.91,-0.00062,2
0.95,0.53,-0.34,16.481398,0.84,-0.85,20.9,-0.19,0.028683,2.37,-0.43,-0.5,0,90.7,0,0.582,6.9918575,56.2279271,89.56,-0.00041,2
6.483,6.355,20.59,44.634888,-8.07,5.999,50.5,-2.604,0.222925,17.06,-2.459,5.798,1,2.27,1,0.6106,7.4411964,2.384052875,58.76,-0.024,0
